2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-05/02:00:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-05/02:00:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-05/02:00:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-05/02:00:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-05/02:00:09		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-05/02:00:09		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-05/02:00:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-05/02:00:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-05/02:00:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-05/13:30:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-05/13:30:05		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-05/13:30:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-05/13:30:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-05/13:30:06		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-05/13:30:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-05/13:30:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-05/13:30:07		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-05/13:30:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-05/13:57:37		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-05/13:57:37		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-05/13:57:38		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-05/13:57:38		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-05/13:57:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-05/13:57:38		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-05/13:57:39		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-05/13:57:39		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-05/13:57:39		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-05/14:05:09		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-05/14:05:09		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-05/14:05:10		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-05/14:05:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-05/14:05:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-05/14:05:11		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-05/14:05:11		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-05/14:05:12		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-05/14:05:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-05/17:15:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-05/17:15:18		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-05/17:15:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-05/17:15:18		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-05/17:15:18		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-05/17:15:19		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-05/17:15:19		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-05/17:15:19		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-05/17:15:19		 wafer_29012020_050617.csv: File Transformed successfully!!
